Date,Course,Hole,Shot,Distance,Club,Lie,Distance Lie,Exp,Strokes,Distance Label,Direction_Result,Distance_Result,Penalty,Par,Updated Distance,Updated Distance Cat,Relative to Par
"July 10, 2021",Glendale,1,1,540,D,T,540T,4.65,-0.77,250 +,pretty left,good,1,5,540,250 +,-4
"July 10, 2021",Glendale,1,2,P,,,P,4.42,0,,,,0,5,,,-3
"July 10, 2021",Glendale,1,3,200,7,R,200R,3.42,-0.36,176-200,pretty left,slightly long,0,5,202,176-200,-2
"July 10, 2021",Glendale,1,4,30,60,R,30R,2.78,-0.01,26-50,slight right,slightly short,0,5,38,26-50,-1
"July 10, 2021",Glendale,1,5,15,P,G,15G,1.79,0.79,G 10-15,good,good,0,5,15,G 10-15,0
"July 10, 2021",Glendale,2,1,400,D,T,400T,3.99,0.29,250 +,slight left,good,0,4,407,250 +,-3
"July 10, 2021",Glendale,2,2,55,60,F,55F,2.7,-0.23,51-75,good,slightly short,0,4,56,51-75,-2
"July 10, 2021",Glendale,2,3,25,P,G,25G,1.934,-0.12,G 21-25,good,slightly short,0,4,25,G 21-25,-1
"July 10, 2021",Glendale,2,4,3,P,G,3G,1.053,0.05,G 0-3,good,good,0,4,3,G 0-3,0
"July 10, 2021",Glendale,3,1,360,4,T,360T,3.92,0.12,250 +,good,good,0,4,363,250 +,-3
"July 10, 2021",Glendale,3,2,100,55,F,100F,2.8,-0.79,76-100,good,pretty long,0,4,99,76-100,-2
"July 10, 2021",Glendale,3,3,15,60,R,15R,2.59,0.23,0-25,good,good,0,4,11,0-25,-1
"July 10, 2021",Glendale,3,4,6,P,G,6G,1.357,0.36,G 4-6,good,good,0,4,6,G 4-6,0
"July 10, 2021",Glendale,4,1,140,9,T,140T,2.97,-0.62,126-150,way right,good,0,3,133,126-150,-2
"July 10, 2021",Glendale,4,2,25,60,R,25R,2.59,0.08,0-25,slight right,good,0,3,24,0-25,-1
"July 10, 2021",Glendale,4,3,8,P,G,8G,1.515,-0.49,G 7-9,slight right,good,0,3,8,G 7-9,0
"July 10, 2021",Glendale,4,4,1,P,G,1G,1.001,0,G 0-3,good,good,0,3,1,G 0-3,1
"July 10, 2021",Glendale,5,1,400,D,T,400T,3.99,-0.16,250 +,way left,slightly short,0,4,394,250 +,-3
"July 10, 2021",Glendale,5,2,130,50,R,130R,3.15,-0.44,126-150,good,pretty long,0,4,136,126-150,-2
"July 10, 2021",Glendale,5,3,20,60,R,20R,2.59,-0.04,0-25,good,slightly short,0,4,12,0-25,-1
"July 10, 2021",Glendale,5,4,10,P,G,10G,1.626,-0.38,G 10-15,slight left,good,0,4,10,G 10-15,0
"July 10, 2021",Glendale,5,5,1,P,G,1G,1.001,0,G 0-3,good,good,0,4,1,G 0-3,1
"July 10, 2021",Glendale,6,1,430,D,T,430T,4.08,-0.23,250 +,pretty right,pretty short,0,4,423,250 +,-3
"July 10, 2021",Glendale,6,2,170,8,R,170R,3.31,-0.47,151-175,pretty right,good,0,4,165,151-175,-2
"July 10, 2021",Glendale,6,3,35,60,R,35R,2.78,-0.01,26-50,good,slightly short,0,4,41,26-50,-1
"July 10, 2021",Glendale,6,4,15,P,G,15G,1.79,0.79,G 10-15,good,good,0,4,15,G 10-15,0
